count,c
1,189361
2,82131
3,60096
4,34308
5,20842
6,21581
7,12274
8,10633
9,10036
10,7366
11,5697
12,6562
13,4399
14,4062
15,3922
16,3157
17,2697
18,2851
19,2200
20,2118
21,2091
22,1812
23,1573
24,1691
25,1388
26,1298
27,1261
28,1125
29,1041
30,925
31,803
32,759
33,856
34,698
35,648
36,667
37,597
38,532
39,551
40,440
41,432
42,421
43,366
44,374
45,351
46,338
47,301
48,307
49,257
50,241
51,276
52,213
53,197
54,211
55,166
56,198
57,179
58,147
59,149
60,135
61,142
62,140
63,139
64,124
65,114
66,119
67,111
68,105
69,104
70,106
71,72
72,100
73,86
74,88
75,71
76,84
77,84
78,84
79,52
80,81
81,78
82,57
83,43
84,65
85,46
86,33
87,58
88,59
89,40
90,54
91,51
92,54
93,50
94,39
95,39
96,38
97,37
98,38
99,47
100,34
101,21
102,32
103,32
104,33
105,32
106,37
107,31
108,34
109,38
110,30
111,27
112,20
113,32
114,16
115,30
116,25
117,28
118,27
119,19
120,32
121,23
122,28
123,20
124,21
125,17
126,11
127,19
128,24
129,22
130,16
131,20
132,20
133,14
134,12
135,20
136,20
137,14
138,17
139,22
140,11
141,17
142,16
143,8
144,15
145,8
146,10
147,12
148,11
149,9
150,15
151,11
152,13
153,10
154,9
155,13
156,8
157,13
158,14
159,17
160,12
161,7
162,19
163,15
164,12
165,17
166,8
167,5
168,10
169,9
170,5
171,8
172,8
173,11
174,10
175,3
176,9
177,7
178,10
179,11
180,8
181,6
182,10
183,5
184,8
185,3
186,4
187,6
188,4
189,5
190,5
191,7
192,9
193,8
194,6
195,6
196,7
197,4
198,3
199,11
200,7
201,9
202,4
203,11
204,6
205,4
206,5
207,9
208,4
209,2
210,4
211,6
212,3
213,8
214,1
215,4
216,5
217,3
218,4
219,1
220,2
221,2
222,3
223,3
224,3
225,6
226,2
227,8
229,1
230,2
231,1
232,4
233,7
234,4
235,2
236,2
237,4
238,2
239,4
240,3
241,4
242,2
243,5
244,3
245,2
246,4
248,3
249,4
250,4
251,5
252,2
253,1
255,2
256,4
257,2
258,2
259,2
260,4
261,4
262,1
263,2
264,1
265,2
267,1
268,1
269,1
270,2
271,4
272,2
273,1
274,1
275,1
276,3
277,2
278,1
279,3
280,4
281,2
282,2
283,2
284,2
285,1
286,3
288,3
289,1
290,2
292,3
293,1
294,3
295,1
296,1
297,1
298,4
299,1
300,1
301,1
302,2
303,1
304,3
306,2
307,1
308,2
309,3
310,1
311,2
312,2
313,1
314,1
315,2
316,1
317,4
318,3
319,1
320,5
324,1
327,1
328,3
329,2
330,1
332,1
333,1
334,2
335,1
336,3
337,3
343,1
344,1
345,2
346,2
348,1
349,1
350,1
354,3
355,2
360,3
362,1
363,1
364,1
367,1
369,1
371,1
372,1
374,1
377,2
378,1
379,2
381,2
382,1
383,1
384,3
385,1
392,1
394,1
395,1
396,1
397,1
398,1
401,1
404,1
405,1
407,1
408,1
409,1
414,1
415,1
418,1
421,1
423,1
424,1
429,1
438,1
439,1
442,1
443,2
449,1
451,1
454,1
457,1
458,1
461,1
463,1
470,1
471,1
472,1
473,1
474,1
477,1
479,1
481,1
483,1
488,1
490,1
492,1
494,1
496,1
498,1
499,1
501,1
506,1
511,1
512,1
515,1
518,1
520,1
524,1
525,1
528,1
533,1
537,1
538,1
540,2
541,1
542,1
544,3
550,2
551,1
552,1
554,1
557,1
562,2
566,1
569,1
570,2
571,1
575,1
576,1
582,1
585,1
590,1
592,1
593,1
597,1
601,1
609,1
612,1
617,1
624,1
632,1
634,2
638,2
641,1
648,1
650,2
655,1
661,1
662,1
670,1
673,1
681,1
683,1
685,1
686,1
689,1
690,1
701,1
703,1
706,2
716,1
718,1
725,1
736,1
738,1
748,1
752,1
760,1
769,1
776,1
788,1
796,1
814,1
827,1
872,1
893,1
905,1
913,1
950,1
979,1
988,1
1008,1
1014,1
1067,1
1090,1
1132,1
1140,1
1151,1
1184,1
1224,1
1242,1
1324,1
1347,1
1425,1
1454,1
1534,1
1559,1
1615,1
1644,1
1691,1
1783,1
1981,1
2226,1
2231,1
2299,1
2590,1
2621,1
3167,1
3211,1
3315,1
3439,1
3850,1
4017,1
4550,1
5208,1
6297,1
6576,1
7675,1
8111,1
11354,1
11819,1
16313,1
23728,1
40935,1
