count,c
1,225767
2,90048
3,65723
4,35594
5,21754
6,19222
7,12656
8,9824
9,8310
10,6701
11,5249
12,4693
13,3966
14,3416
15,3118
16,2732
17,2511
18,2330
19,2044
20,1929
21,1774
22,1581
23,1367
24,1242
25,1136
26,1054
27,934
28,806
29,732
30,683
31,576
32,567
33,472
34,466
35,415
36,430
37,356
38,344
39,319
40,305
41,266
42,297
43,270
44,265
45,242
46,221
47,190
48,213
49,182
50,159
51,179
52,180
53,136
54,157
55,148
56,138
57,152
58,136
59,116
60,114
61,131
62,110
63,111
64,107
65,90
66,102
67,93
68,83
69,81
70,86
71,73
72,70
73,68
74,73
75,71
76,67
77,71
78,71
79,60
80,67
81,65
82,54
83,45
84,50
85,55
86,40
87,52
88,60
89,37
90,43
91,54
92,33
93,42
94,45
95,41
96,39
97,56
98,40
99,33
100,44
101,22
102,39
103,33
104,32
105,35
106,31
107,31
108,21
109,32
110,23
111,26
112,29
113,26
114,35
115,28
116,24
117,33
118,20
119,28
120,25
121,23
122,24
123,34
124,20
125,18
126,22
127,26
128,25
129,17
130,25
131,27
132,11
133,20
134,22
135,20
136,22
137,27
138,12
139,16
140,16
141,14
142,18
143,5
144,21
145,26
146,13
147,15
148,13
149,12
150,14
151,8
152,9
153,13
154,16
155,7
156,10
157,13
158,16
159,15
160,16
161,8
162,12
163,14
164,10
165,17
166,9
167,7
168,12
169,15
170,14
171,8
172,12
173,9
174,8
175,7
176,15
177,12
178,12
179,3
180,6
181,9
182,3
183,11
184,16
185,12
186,10
187,11
188,11
189,7
190,10
191,8
192,8
193,9
194,9
195,13
196,5
197,5
198,6
199,8
200,7
201,6
202,8
203,10
204,7
205,8
206,9
207,14
208,4
209,5
210,11
211,13
212,5
213,6
214,5
215,7
216,10
217,3
218,3
219,5
220,6
221,7
222,4
223,6
224,3
225,7
226,5
227,6
228,7
229,5
230,8
231,3
232,7
233,2
234,8
235,5
236,3
237,6
238,3
239,8
240,2
241,2
242,2
243,3
244,5
245,3
246,5
247,14
248,4
249,9
250,4
251,4
252,4
253,4
254,3
255,5
256,5
257,5
258,3
259,3
260,3
261,1
262,8
263,4
264,8
265,2
266,4
267,2
268,1
269,4
270,4
271,3
272,4
273,2
274,5
275,4
276,9
277,3
278,2
279,3
280,3
281,2
282,4
283,7
284,2
285,2
286,3
287,1
288,3
289,3
290,2
291,2
292,1
293,1
294,3
295,1
296,2
297,5
298,7
299,4
300,1
301,1
302,3
304,4
305,3
306,4
307,4
308,1
309,5
310,3
311,5
312,1
313,2
314,4
315,4
316,4
317,2
318,3
319,2
320,2
322,3
323,1
324,2
325,1
326,2
327,2
328,3
329,3
330,1
331,2
332,3
333,8
334,1
335,2
336,2
337,3
338,3
340,1
341,1
342,1
343,4
345,1
346,1
347,3
348,1
349,4
351,1
352,1
353,6
354,2
355,2
356,2
357,1
358,5
359,3
360,2
361,1
362,3
363,2
367,1
368,2
369,1
370,2
372,3
374,1
375,3
378,1
379,2
380,1
381,3
382,1
383,1
384,2
385,2
386,1
387,2
388,1
390,1
391,3
393,2
394,2
395,1
396,1
397,4
399,1
400,1
403,1
404,2
405,1
406,1
409,1
410,1
411,3
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,2
421,1
423,2
426,3
427,2
428,2
429,4
430,1
432,1
433,2
435,1
436,1
437,3
438,1
439,1
440,2
442,2
444,3
445,2
447,2
448,2
450,2
452,3
454,1
457,1
459,1
460,1
462,2
464,1
465,3
466,1
470,1
472,5
474,2
475,1
476,1
477,2
478,1
479,1
480,2
482,1
483,3
484,1
486,1
490,2
491,1
493,2
496,1
497,1
500,1
502,1
504,1
505,1
507,1
509,1
510,1
511,2
512,2
518,1
519,2
520,1
523,1
525,1
526,2
529,1
530,1
532,1
542,1
544,1
547,1
549,1
550,2
557,1
558,2
559,1
564,1
565,1
568,1
569,1
570,1
571,2
572,3
573,2
580,1
581,1
585,1
586,1
587,4
588,1
589,1
594,2
595,1
596,1
601,3
602,2
603,1
604,1
605,1
606,2
607,1
609,1
616,3
617,2
624,3
626,1
627,1
629,3
630,1
633,1
637,1
642,1
643,1
644,1
645,2
647,1
648,1
649,1
652,1
657,2
658,1
662,1
664,1
669,1
672,2
673,1
674,1
676,1
677,1
681,1
682,1
683,2
684,1
685,1
689,1
692,2
693,2
694,1
699,1
705,2
707,1
709,2
711,1
712,1
714,2
716,1
718,1
720,1
721,2
722,1
725,1
744,1
750,1
769,1
770,2
779,1
780,2
786,1
792,1
795,1
802,1
805,1
808,1
809,1
811,1
812,1
815,1
816,1
817,1
819,1
820,1
822,1
824,1
857,1
864,1
868,1
873,1
874,1
878,2
881,1
894,1
907,1
916,1
919,1
924,1
928,1
930,1
940,1
946,1
954,1
959,1
963,1
968,1
973,1
986,1
989,1
1000,1
1011,1
1017,2
1029,1
1032,1
1036,1
1047,1
1051,1
1061,1
1063,1
1073,1
1074,1
1084,1
1087,2
1095,1
1100,1
1119,1
1123,1
1135,1
1139,1
1141,1
1146,1
1151,1
1152,1
1177,1
1180,1
1188,1
1192,1
1193,1
1250,1
1280,1
1291,1
1297,1
1300,1
1306,1
1308,1
1310,1
1318,1
1322,1
1323,1
1324,1
1338,1
1343,1
1358,1
1391,1
1409,1
1427,1
1460,2
1476,1
1518,1
1524,1
1544,1
1570,1
1622,1
1639,1
1683,1
1686,1
1697,1
1726,1
1739,1
1753,2
1781,1
1813,1
1878,1
1896,1
1940,1
2023,1
2050,1
2127,1
2220,1
2225,1
2243,1
2285,1
2371,1
2437,1
2502,1
2503,1
2546,1
2565,1
2576,1
2760,1
2805,1
2899,1
2973,1
3005,1
3094,1
3114,1
3244,1
3248,1
3263,1
3318,1
3333,1
3409,1
3418,1
3427,1
3459,1
3970,1
4200,1
4240,1
4508,1
4613,1
4682,1
5107,1
5277,1
5353,1
6785,1
7319,1
8184,1
8678,1
9083,1
11520,1
13892,1
16395,1
