count,c
1,175183
2,92231
3,62553
4,41229
5,27017
6,26414
7,17076
8,15305
9,13551
10,10828
11,8773
12,9340
13,7037
14,6281
15,6245
16,5273
17,4538
18,4667
19,3857
20,3653
21,3566
22,3080
23,2824
24,2950
25,2458
26,2361
27,2282
28,2145
29,1933
30,1972
31,1755
32,1750
33,1674
34,1514
35,1382
36,1488
37,1304
38,1255
39,1305
40,1122
41,1066
42,1190
43,1014
44,938
45,954
46,880
47,864
48,832
49,810
50,804
51,777
52,732
53,693
54,691
55,649
56,705
57,619
58,607
59,589
60,611
61,545
62,539
63,524
64,539
65,494
66,479
67,515
68,458
69,443
70,446
71,403
72,446
73,427
74,389
75,418
76,385
77,349
78,365
79,352
80,364
81,341
82,342
83,332
84,326
85,296
86,321
87,278
88,284
89,286
90,312
91,262
92,283
93,254
94,236
95,258
96,236
97,230
98,243
99,247
100,203
101,253
102,203
103,208
104,226
105,249
106,207
107,216
108,219
109,219
110,175
111,190
112,186
113,194
114,179
115,177
116,176
117,161
118,167
119,156
120,197
121,188
122,171
123,171
124,144
125,172
126,174
127,169
128,144
129,179
130,160
131,135
132,145
133,145
134,132
135,118
136,129
137,132
138,140
139,142
140,125
141,134
142,139
143,116
144,107
145,104
146,126
147,113
148,102
149,123
150,106
151,108
152,90
153,106
154,133
155,105
156,109
157,96
158,110
159,107
160,90
161,104
162,102
163,100
164,89
165,94
166,94
167,83
168,90
169,75
170,88
171,89
172,92
173,81
174,113
175,90
176,104
177,96
178,102
179,77
180,71
181,94
182,84
183,87
184,82
185,76
186,60
187,52
188,76
189,83
190,66
191,83
192,82
193,73
194,72
195,81
196,64
197,72
198,82
199,67
200,75
201,75
202,56
203,53
204,60
205,66
206,71
207,64
208,56
209,72
210,65
211,62
212,60
213,52
214,53
215,52
216,59
217,46
218,63
219,61
220,50
221,45
222,53
223,55
224,47
225,51
226,48
227,53
228,52
229,38
230,34
231,55
232,47
233,54
234,48
235,43
236,46
237,44
238,40
239,42
240,51
241,50
242,44
243,34
244,48
245,34
246,41
247,42
248,36
249,30
250,35
251,51
252,45
253,46
254,56
255,49
256,45
257,46
258,34
259,33
260,36
261,32
262,33
263,42
264,43
265,46
266,36
267,41
268,33
269,36
270,42
271,30
272,44
273,37
274,29
275,28
276,23
277,30
278,37
279,42
280,36
281,45
282,31
283,40
284,44
285,37
286,30
287,22
288,22
289,28
290,42
291,29
292,33
293,38
294,33
295,32
296,29
297,32
298,33
299,29
300,34
301,24
302,26
303,35
304,37
305,37
306,22
307,33
308,37
309,33
310,29
311,30
312,19
313,36
314,31
315,27
316,29
317,29
318,21
319,34
320,25
321,26
322,23
323,36
324,31
325,33
326,23
327,16
328,30
329,19
330,32
331,24
332,25
333,22
334,14
335,21
336,25
337,25
338,21
339,21
340,21
341,26
342,23
343,21
344,24
345,22
346,26
347,28
348,22
349,24
350,23
351,33
352,16
353,24
354,28
355,27
356,25
357,24
358,14
359,14
360,20
361,15
362,31
363,26
364,18
365,19
366,22
367,15
368,20
369,18
370,18
371,18
372,23
373,24
374,17
375,19
376,26
377,11
378,19
379,22
380,17
381,17
382,29
383,17
384,16
385,13
386,19
387,14
388,16
389,22
390,25
391,22
392,9
393,28
394,16
395,20
396,16
397,18
398,19
399,18
400,16
401,14
402,16
403,15
404,15
405,12
406,18
407,15
408,17
409,11
410,19
411,10
412,20
413,11
414,20
415,12
416,17
417,21
418,17
419,14
420,14
421,20
422,19
423,18
424,11
425,11
426,19
427,14
428,11
429,14
430,25
431,21
432,10
433,17
434,21
435,19
436,12
437,19
438,17
439,7
440,10
441,14
442,19
443,16
444,12
445,15
446,14
447,11
