count,c
1,124890
2,68066
3,41821
4,29225
5,18408
6,18139
7,11648
8,10559
9,9127
10,7504
11,6088
12,6366
13,4783
14,4437
15,4160
16,3564
17,3136
18,3164
19,2658
20,2438
21,2374
22,2119
23,1886
24,1950
25,1718
26,1662
27,1561
28,1374
29,1303
30,1300
31,1178
32,1140
33,1067
34,1020
35,940
36,926
37,870
38,837
39,880
40,755
41,713
42,713
43,648
44,613
45,639
46,559
47,565
48,579
49,511
50,484
51,471
52,476
53,451
54,435
55,425
56,409
57,377
58,389
59,372
60,387
61,331
62,329
63,347
64,314
65,325
66,301
67,303
68,282
69,280
70,233
71,243
72,252
73,224
74,268
75,229
76,233
77,229
78,208
79,199
80,197
81,215
82,232
83,191
84,203
85,182
86,201
87,199
88,168
89,172
90,172
91,164
92,147
93,147
94,172
95,134
96,140
97,137
98,136
99,142
100,123
101,121
102,127
103,121
104,123
105,131
106,106
107,106
108,126
109,110
110,118
111,122
112,123
113,106
114,93
115,94
116,94
117,109
118,93
119,122
120,86
121,87
122,94
123,80
124,97
125,76
126,76
127,75
128,78
129,77
130,84
131,91
132,92
133,70
134,79
135,65
136,57
137,60
138,69
139,70
140,84
141,66
142,57
143,96
144,84
145,63
146,71
147,56
148,68
149,55
150,71
151,62
152,47
153,69
154,44
155,53
156,62
157,37
158,53
159,50
160,58
161,44
162,56
163,38
164,48
165,47
166,57
167,47
168,41
169,42
170,48
171,48
172,46
173,34
174,53
175,45
176,51
177,47
178,49
179,43
180,39
181,40
182,40
183,35
184,44
185,35
186,38
187,36
188,29
189,54
190,38
191,27
192,37
193,29
194,46
195,48
196,42
197,33
198,36
199,36
200,39
201,26
202,20
203,33
204,29
205,39
206,15
207,20
208,33
209,34
210,26
211,33
212,30
213,36
214,30
215,24
216,30
217,28
218,28
219,26
220,26
221,28
222,20
223,22
224,24
225,21
226,28
227,18
228,33
229,35
230,27
231,33
232,21
233,32
234,18
235,13
236,24
237,22
238,32
239,21
240,22
241,22
242,20
243,30
244,25
245,16
246,15
247,21
248,23
249,13
250,20
251,20
252,22
253,18
254,14
255,20
256,18
257,17
258,17
259,14
260,24
261,19
262,19
263,14
264,25
265,19
266,14
267,17
268,18
269,19
270,17
271,22
272,17
273,18
274,17
275,15
276,24
277,13
278,18
279,19
280,21
281,22
282,17
283,15
284,22
285,15
286,15
287,20
288,19
289,21
290,16
291,18
292,12
293,19
294,14
295,9
296,14
297,3
298,14
299,18
300,16
301,17
302,14
303,16
304,17
305,7
306,13
307,9
308,8
309,9
310,17
311,10
312,13
313,17
314,11
315,19
316,7
317,12
318,11
319,12
320,17
321,9
322,12
323,10
324,8
325,10
326,11
327,6
328,10
329,10
330,10
331,11
332,9
333,13
334,10
335,11
336,11
337,15
338,15
339,9
340,7
341,12
342,8
343,10
344,17
345,12
346,12
347,5
348,14
349,7
350,11
351,12
352,9
353,9
