count,c
1,210673
2,137837
3,101734
4,76456
5,56742
6,57527
7,41233
8,39064
9,36532
10,30485
11,26292
12,28723
13,21943
14,21513
15,21452
16,18784
17,16508
18,17991
19,14698
20,14347
21,14683
22,12956
23,11903
24,12686
25,10695
26,10572
27,10669
28,9646
29,9001
30,9662
31,8214
32,8352
33,8411
34,7557
35,7102
36,7657
37,6361
38,6476
39,6667
40,6089
41,5669
42,6163
43,5457
44,5403
45,5652
46,5080
47,4777
48,4997
49,4523
50,4420
51,4775
52,4310
53,4193
54,4348
55,3857
56,3904
57,4112
58,3671
59,3626
60,3762
61,3434
62,3398
63,3496
64,3224
65,3059
66,3251
67,2908
68,3027
69,3073
70,2845
71,2841
72,2858
73,2674
74,2580
75,2648
76,2515
77,2472
78,2530
79,2305
80,2298
81,2342
82,2301
83,2114
84,2316
85,2164
86,2088
87,2185
88,1998
89,2006
90,1986
91,1878
92,1878
93,1903
94,1829
95,1765
96,1835
97,1662
98,1667
99,1837
100,1601
101,1579
102,1750
103,1572
104,1481
105,1579
106,1624
107,1390
108,1547
109,1452
110,1453
111,1479
112,1332
113,1319
114,1436
115,1265
116,1278
117,1314
118,1291
119,1208
120,1286
121,1197
122,1194
123,1210
124,1213
125,1126
126,1218
127,1144
128,1099
129,1145
130,1113
131,1022
132,1120
133,1060
134,1022
135,984
136,974
137,976
138,1061
139,941
140,958
141,962
142,914
143,923
144,974
145,907
146,866
147,915
148,942
149,818
150,931
151,858
152,804
153,837
154,864
155,824
156,813
157,780
158,762
159,765
160,774
161,690
162,766
163,758
164,719
165,739
166,701
167,707
168,757
169,736
170,657
171,706
172,683
173,699
174,650
175,661
176,661
177,661
178,623
179,615
180,621
181,676
182,616
183,633
184,545
185,611
186,633
187,535
188,605
189,573
190,560
191,589
192,588
193,567
194,547
195,575
196,535
197,513
198,564
199,554
200,519
201,533
202,536
203,496
204,514
205,510
206,451
207,483
208,481
209,491
210,490
211,473
212,494
213,504
214,434
215,472
216,463
217,473
218,440
219,452
220,391
221,433
222,426
223,415
224,443
225,425
226,410
227,395
228,438
229,421
230,422
231,384
232,386
233,393
234,390
235,355
236,372
237,407
238,378
239,393
240,375
241,320
242,369
243,363
244,389
245,360
246,375
247,339
248,345
249,357
250,361
251,331
252,351
253,307
254,355
255,331
256,345
257,320
258,327
259,324
260,349
261,325
262,305
263,311
264,335
265,310
266,286
267,287
268,328
269,316
270,312
271,269
272,331
273,302
274,258
275,304
276,320
277,296
278,283
279,299
280,272
281,293
282,252
283,270
284,277
285,292
286,306
287,283
288,252
289,281
290,264
291,278
292,247
293,237
294,247
295,264
296,258
297,257
298,265
299,249
300,236
301,237
302,235
303,239
304,241
305,244
306,224
307,225
308,249
309,251
310,231
311,244
312,205
313,241
314,227
315,223
316,205
317,207
318,226
319,201
320,207
321,203
322,226
323,223
324,204
325,231
326,200
327,198
328,211
329,194
330,203
331,195
332,216
333,212
334,217
335,204
336,184
337,189
338,203
339,185
340,186
341,186
342,192
343,166
344,178
345,187
346,166
347,197
348,186
349,184
350,190
351,187
352,171
353,175
354,196
355,146
356,209
357,175
358,176
359,162
360,143
361,160
362,156
363,148
364,178
365,179
366,157
367,158
368,124
369,167
370,135
371,158
372,150
373,143
374,150
375,159
376,159
377,152
378,169
379,161
380,153
381,156
382,148
383,147
384,141
385,154
386,140
387,143
388,141
389,125
390,157
391,157
392,144
393,143
394,127
395,150
396,132
397,128
398,121
399,128
400,125
401,130
402,149
403,133
404,132
405,141
406,116
407,133
408,132
409,138
410,127
411,115
412,141
413,135
414,122
415,124
416,130
417,114
418,120
419,132
420,147
421,115
422,126
423,125
424,133
425,102
426,127
427,107
428,121
429,118
430,115
431,110
432,114
433,115
434,131
435,102
436,125
437,116
438,132
439,123
440,118
441,104
442,115
443,120
444,124
445,96
446,109
447,109
448,98
449,113
450,114
451,93
452,119
453,124
454,121
455,88
456,107
457,96
458,102
459,111
460,110
461,98
462,121
463,86
464,97
465,103
466,95
467,105
468,72
469,127
470,90
471,96
472,102
473,97
474,113
475,96
476,84
477,84
478,91
479,96
480,107
481,100
482,94
483,101
484,100
485,78
486,77
487,92
488,100
489,95
490,88
491,91
492,97
493,93
494,89
495,78
496,76
497,93
498,85
499,89
500,87
501,80
502,83
503,88
504,76
505,96
506,90
507,81
508,81
509,82
510,84
511,86
512,78
513,81
514,94
515,70
516,56
517,89
518,80
519,73
520,90
521,86
522,89
523,78
524,79
525,73
526,60
527,79
528,83
529,76
530,83
531,98
532,65
533,74
534,66
535,72
536,72
537,64
538,75
539,79
540,66
541,69
542,66
543,78
544,77
545,78
546,75
547,77
548,58
549,61
550,44
551,61
552,61
553,79
554,75
555,66
556,68
557,58
558,63
559,63
560,64
561,63
562,62
563,58
564,82
565,63
566,54
567,63
568,67
569,65
570,58
571,71
572,65
573,59
574,66
575,64
576,51
577,58
578,62
579,73
580,63
581,67
582,61
583,57
584,76
585,65
586,63
587,49
588,53
589,58
590,52
591,61
592,61
593,53
594,56
595,56
596,58
597,62
598,61
599,49
600,61
601,52
602,57
603,56
604,49
605,53
606,57
607,60
608,60
609,59
610,49
611,49
612,42
613,59
614,45
615,45
616,47
617,61
618,48
619,50
620,52
621,48
622,60
623,50
624,52
625,63
626,50
627,50
628,59
629,60
630,47
631,54
632,51
633,58
634,46
635,54
636,39
637,47
638,47
639,51
640,57
641,50
642,39
643,52
644,54
645,45
646,54
647,54
648,55
649,53
650,47
651,41
652,56
653,48
654,46
655,44
656,50
657,36
658,51
659,44
660,34
661,54
662,41
663,45
664,45
665,42
666,42
667,46
668,31
669,44
670,42
671,47
672,41
673,39
674,39
675,41
676,36
677,39
678,45
679,39
680,37
681,52
682,44
683,46
684,39
685,44
686,44
687,40
688,39
689,40
690,52
691,46
692,49
693,39
694,38
695,36
696,45
697,42
698,47
699,44
700,44
701,43
702,36
703,45
704,45
705,30
706,39
707,37
708,32
709,31
710,33
711,35
712,34
713,40
714,49
715,46
716,29
717,34
718,43
719,41
720,39
721,31
722,33
723,45
724,41
725,39
726,43
727,33
728,34
729,34
730,37
731,25
732,28
733,38
734,52
735,39
736,45
737,36
738,40
739,36
740,44
741,31
742,41
743,34
744,43
745,40
746,37
747,31
748,34
749,37
750,23
751,22
752,51
753,32
754,26
755,31
756,31
757,46
758,47
759,46
760,24
761,21
762,33
763,26
764,35
765,31
766,31
767,38
768,27
769,30
770,29
771,28
772,27
773,28
774,41
775,46
776,26
777,36
778,25
779,36
780,30
781,27
782,30
783,24
784,31
785,32
786,39
787,29
788,26
789,26
790,25
791,27
792,16
793,41
794,35
795,28
796,26
797,32
798,32
799,35
800,36
801,34
802,30
803,30
804,32
805,29
806,18
807,30
808,36
809,26
810,25
811,23
812,35
813,30
814,23
815,30
816,37
817,26
818,30
819,27
820,29
821,23
822,30
823,32
824,24
825,28
826,23
827,33
828,19
829,24
830,29
831,29
832,16
833,31
834,24
835,33
836,21
837,21
838,25
839,23
840,36
841,20
842,21
843,25
844,34
845,27
846,26
847,26
848,23
849,25
850,19
851,35
852,23
853,22
854,21
855,28
856,30
857,27
858,24
859,24
860,25
861,17
862,31
863,24
864,30
865,16
866,22
867,19
868,24
869,26
870,31
871,13
872,25
873,19
874,17
875,19
876,27
877,28
878,20
879,21
880,20
881,26
882,27
883,18
884,23
885,20
886,28
887,17
888,23
889,23
890,24
891,23
892,26
893,29
894,23
895,19
896,25
897,26
898,21
899,19
900,23
901,27
902,26
903,17
904,22
905,18
906,26
907,20
908,28
909,22
910,18
911,20
912,18
913,21
914,25
915,18
916,24
917,17
918,20
919,15
920,23
921,24
922,21
923,18
924,21
925,28
926,18
927,20
928,21
929,17
930,16
931,18
932,25
933,11
934,20
935,23
936,32
937,23
938,21
939,20
940,17
941,21
942,23
943,20
944,21
945,17
