count,c
1,16831
2,8847
3,5802
4,3900
5,2576
6,2494
7,1663
8,1523
9,1309
10,1023
11,858
12,967
13,693
14,614
15,654
16,525
17,474
18,448
19,378
20,365
21,363
22,296
23,287
24,296
25,257
26,237
27,223
28,238
29,191
30,215
31,178
32,189
33,184
34,152
35,131
36,156
37,125
38,146
39,133
40,133
41,117
42,117
43,96
44,98
45,124
46,104
47,96
48,110
49,85
50,93
51,76
52,94
53,77
54,70
55,64
56,62
57,87
58,76
59,61
60,67
61,49
62,57
63,58
64,54
65,62
66,53
67,43
68,57
69,51
70,48
71,44
72,49
73,45
74,49
75,43
76,49
77,33
78,48
79,38
80,34
81,44
82,42
83,37
84,36
85,31
86,34
87,37
88,31
89,45
90,34
91,20
92,41
93,28
94,32
95,28
96,36
97,27
98,29
99,36
100,36
101,31
102,18
103,29
104,22
105,25
106,27
107,30
108,25
109,28
110,25
111,20
112,24
113,23
114,15
115,22
116,27
117,21
118,23
119,14
120,23
121,20
122,17
123,22
124,19
125,17
126,11
127,14
128,19
129,26
130,19
131,21
132,19
133,20
134,7
135,12
136,12
137,12
138,11
139,20
140,14
141,17
142,19
143,15
144,23
145,13
146,13
147,20
148,18
149,11
150,10
151,12
152,11
153,11
154,16
155,11
156,12
157,11
158,10
159,14
160,9
161,7
162,15
163,8
164,14
165,11
166,6
167,9
168,13
169,16
170,10
171,13
172,10
173,10
174,14
175,8
176,12
177,5
178,8
179,13
180,14
181,4
182,11
183,10
184,5
185,13
186,19
187,10
188,10
189,7
190,8
191,7
192,12
193,7
194,11
195,13
196,9
197,11
198,11
199,14
200,7
201,10
202,5
203,9
204,9
205,10
206,6
207,13
208,8
209,8
210,8
211,4
212,8
213,1
214,4
215,7
216,10
217,11
218,10
219,6
220,5
221,3
222,8
223,6
224,5
225,9
226,9
227,4
228,10
229,5
230,3
231,4
232,8
233,4
234,6
235,6
236,7
237,5
238,4
239,8
240,8
241,8
242,8
243,5
244,6
245,4
246,5
247,4
248,5
249,8
250,11
251,8
252,8
253,4
254,2
255,6
256,8
257,8
258,8
259,4
260,6
261,8
262,12
263,5
264,7
265,3
266,5
267,9
268,3
269,8
270,9
271,4
272,3
273,3
274,4
275,2
276,1
277,3
278,2
279,9
280,7
281,4
282,9
283,6
284,1
285,1
286,5
287,2
288,7
289,2
290,1
291,3
292,5
293,1
294,6
295,2
296,7
297,2
298,4
299,4
300,5
301,4
302,5
303,3
304,4
306,2
307,3
308,3
309,3
310,5
311,3
312,3
313,4
314,2
315,6
316,4
317,3
318,6
319,7
320,6
321,2
322,5
323,3
324,3
325,3
327,5
328,1
329,4
330,2
331,5
332,6
333,2
334,4
335,5
336,4
338,6
339,1
340,2
341,2
342,8
343,6
344,4
345,5
346,1
347,2
348,2
350,5
351,2
352,3
353,5
354,4
355,4
356,2
357,6
358,3
359,6
360,1
361,2
362,3
363,3
364,2
365,2
366,2
367,2
368,1
369,2
370,2
372,6
373,3
374,7
375,3
377,3
378,4
379,1
380,2
381,1
382,1
383,2
384,2
385,3
386,3
388,1
390,1
391,2
392,2
393,2
394,3
395,3
396,3
398,3
399,5
400,3
401,3
402,2
404,3
405,4
406,4
407,1
408,5
409,3
410,1
411,4
412,1
413,2
414,4
415,6
416,1
417,1
418,2
419,1
420,5
422,2
423,1
425,3
426,3
427,4
428,3
429,2
430,1
431,3
432,4
433,3
434,3
435,2
436,1
437,3
438,1
439,1
440,2
442,3
444,1
445,2
446,5
447,6
448,1
449,3
450,1
451,4
452,5
453,1
455,1
456,3
457,1
458,2
459,2
460,2
461,3
462,2
463,4
464,2
465,1
466,1
467,3
469,3
470,3
472,2
473,2
474,1
476,1
477,3
478,3
479,1
480,2
481,3
482,1
484,7
485,5
486,2
488,3
489,1
490,1
491,3
492,1
493,1
494,2
496,1
497,1
498,1
499,2
500,1
501,3
504,3
506,3
509,2
514,1
515,2
516,1
517,3
521,1
523,1
524,1
525,1
526,1
529,1
530,2
531,1
534,1
536,2
537,3
539,2
540,1
541,2
542,1
543,1
544,1
545,1
546,1
547,1
548,2
549,2
550,1
551,1
553,2
554,2
557,2
558,1
560,2
561,1
562,1
565,4
566,1
567,2
568,1
570,2
572,1
573,3
576,4
578,3
580,4
581,1
582,1
583,1
587,3
588,1
589,1
590,1
591,1
593,1
595,2
597,1
602,1
604,1
605,1
608,2
612,1
614,2
615,2
619,1
621,2
623,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
634,2
635,1
636,2
639,2
640,1
641,1
642,1
644,1
645,1
647,1
648,2
650,1
652,3
655,1
656,2
657,1
660,2
663,1
664,2
665,1
666,1
667,3
668,1
669,2
670,1
671,1
674,1
677,1
678,1
680,1
682,1
684,2
686,1
688,1
690,1
693,1
694,1
695,1
696,1
698,1
699,4
705,2
707,1
708,1
709,1
711,1
714,1
716,1
717,1
720,2
721,1
723,1
724,1
725,1
727,1
729,2
730,1
731,1
732,1
733,1
736,1
737,2
738,1
739,1
740,3
741,1
742,1
745,2
746,1
750,1
752,1
755,1
758,2
760,2
763,1
764,1
770,1
771,2
772,1
775,2
781,1
782,1
784,1
785,2
787,2
788,1
789,1
791,1
794,1
795,1
798,1
801,1
802,1
803,1
805,1
808,1
810,1
812,3
814,1
816,1
817,3
822,2
823,1
825,1
826,1
827,2
832,2
834,2
835,1
836,1
841,2
843,1
845,1
846,1
847,1
849,1
851,1
852,1
855,2
856,1
857,2
858,3
861,1
862,1
863,1
865,1
867,1
868,2
878,2
879,1
881,1
883,1
885,1
887,2
889,1
890,2
898,1
899,1
901,1
905,2
906,1
907,1
908,1
916,1
919,1
921,1
922,1
927,2
930,1
931,1
932,1
933,1
939,2
945,1
948,1
949,1
952,1
954,2
958,1
965,1
984,1
986,1
987,1
991,1
992,2
996,1
997,2
1000,1
1003,1
1006,2
1007,1
1017,1
1021,1
1025,1
1027,1
1031,1
1032,1
1036,2
1038,1
1047,1
1048,1
1052,1
1055,2
1056,1
1057,1
1062,1
1071,1
1074,2
1080,1
1084,1
1089,1
1098,2
1099,1
1103,1
1104,1
1110,1
1115,1
1116,2
1139,1
1147,1
1148,1
1155,1
1157,1
1162,1
1168,1
1174,1
1178,1
1179,1
1182,1
1193,1
1196,1
1201,1
1202,1
1204,2
1207,1
1208,1
1209,1
1211,1
1221,1
1223,2
1232,1
1233,1
1235,1
1243,1
1251,2
1255,1
1259,1
1261,1
1263,1
1264,1
1271,2
1273,1
1277,1
1279,1
1285,1
1286,2
1291,1
1294,1
1297,2
1303,1
1306,1
1307,1
1309,1
1320,1
1321,1
1336,1
1337,1
1347,1
1349,1
1355,1
1359,1
1361,1
1362,2
1369,1
1374,1
1398,1
1408,1
1411,1
1413,1
1421,1
1423,1
1429,1
1437,1
1438,1
1442,1
1444,1
1445,1
1447,1
1454,1
1459,1
1462,1
1463,1
1470,1
1473,1
1474,1
1480,1
1490,1
1494,1
1505,1
1510,1
1514,1
1522,1
1523,1
1524,1
1534,1
1542,1
1563,1
1581,1
1583,1
1593,1
1612,1
1631,1
1634,1
1639,1
1640,1
1641,1
1642,1
1657,1
1680,1
1685,1
1687,1
1688,1
1689,1
1692,1
1711,1
1724,1
1729,1
1750,1
1758,1
1776,1
1833,1
1858,1
1876,1
1878,1
1931,2
1934,1
1940,1
1953,1
1966,1
1969,1
1979,1
1985,1
2006,1
2057,1
2096,1
2110,1
2117,1
2118,1
2135,1
2141,1
2176,1
2179,1
2182,1
2190,1
2196,1
2251,1
2268,1
2274,1
2299,1
2311,1
2319,1
2333,1
2336,1
2345,1
2412,1
2443,1
2472,1
2496,1
2500,1
2505,1
2522,1
2554,1
2560,1
2571,1
2600,1
2670,1
2679,1
2699,1
2819,1
2873,1
3088,1
3177,1
