count,c
1,278087
2,120649
3,85403
4,48271
5,32458
6,31880
7,21251
8,18677
9,17204
10,13517
11,11482
12,11331
13,9191
14,8602
15,8166
16,6917
17,6198
18,6174
19,5414
20,4960
21,4756
22,4477
23,3974
24,3942
25,3612
26,3391
27,3229
28,3044
29,2897
30,2858
31,2660
32,2525
33,2481
34,2228
35,2171
36,2183
37,2015
38,1911
39,1821
40,1733
41,1704
42,1640
43,1646
44,1493
45,1504
46,1452
47,1397
48,1375
49,1315
50,1263
51,1196
52,1269
53,1083
54,1192
55,1061
56,1032
57,1081
58,1004
59,980
60,964
61,883
62,907
63,932
64,899
65,836
66,838
67,790
68,795
69,750
70,721
71,733
72,741
73,670
74,657
75,616
76,626
77,667
78,647
79,650
80,617
81,593
82,561
83,576
84,532
85,570
86,524
87,526
88,493
89,510
90,529
91,511
92,455
93,471
94,468
95,429
96,451
97,447
98,438
99,425
100,384
101,388
102,422
103,442
104,388
105,408
106,373
107,333
108,353
109,359
110,330
111,352
112,322
113,321
114,331
115,332
116,319
117,302
118,285
119,305
120,301
121,289
122,329
123,293
124,247
125,292
126,275
127,254
128,267
129,229
130,241
131,241
132,250
133,271
134,243
135,248
136,237
137,227
138,246
139,242
140,214
141,209
142,239
143,234
144,199
145,178
146,204
147,194
148,195
149,194
150,216
151,202
152,193
153,195
154,199
155,205
156,166
157,180
158,181
159,173
160,169
161,161
162,162
163,184
164,145
165,158
166,141
167,154
168,173
169,163
170,143
171,153
172,157
173,156
174,160
175,136
176,160
177,133
178,120
179,174
180,156
181,128
182,138
183,127
184,127
185,118
186,120
187,138
188,132
189,116
190,118
191,133
192,114
193,111
194,132
195,129
196,105
197,115
198,108
199,91
200,105
201,121
202,90
203,125
204,111
205,106
206,110
207,106
208,105
209,111
210,123
211,114
212,106
213,108
214,99
215,102
216,92
217,87
218,69
219,84
220,85
221,104
222,85
223,74
224,104
225,89
226,86
227,78
228,81
229,90
230,86
231,82
232,84
233,61
234,78
235,68
236,66
237,80
238,77
239,65
240,70
241,75
242,72
243,79
244,68
245,74
246,77
247,70
248,69
249,89
250,69
251,69
252,76
253,75
254,66
255,62
256,73
257,81
258,61
259,62
260,72
261,54
262,53
263,68
264,50
265,67
266,63
267,51
268,62
269,59
270,56
271,56
272,47
273,58
274,65
275,63
276,60
277,59
278,55
279,56
280,60
281,48
282,58
283,51
284,65
285,47
286,49
287,46
288,55
289,49
290,62
291,70
292,46
293,66
294,61
295,43
296,59
297,43
298,60
299,47
300,40
301,41
302,43
303,40
304,46
305,41
306,40
307,46
308,43
309,45
310,40
311,36
312,49
313,45
314,32
315,48
316,30
317,38
318,39
319,47
320,45
321,40
322,35
323,41
324,45
325,41
326,32
327,42
328,41
329,34
330,45
331,32
332,46
333,30
334,33
335,30
336,39
337,31
338,38
339,30
340,35
341,32
342,25
343,29
344,30
345,43
346,26
347,25
348,29
349,43
350,33
351,36
352,27
353,40
354,32
355,36
356,20
357,29
358,30
359,34
360,24
361,37
362,36
363,26
364,23
365,26
366,34
367,40
368,25
369,38
370,25
371,33
372,24
373,19
374,32
375,31
376,27
377,21
378,21
379,16
380,26
381,22
382,35
383,25
384,22
385,24
386,32
387,22
388,26
389,23
390,18
391,22
392,32
393,27
394,26
395,25
396,28
397,31
398,19
399,24
400,15
401,22
402,22
403,22
404,20
405,25
406,29
407,23
408,18
409,24
410,12
411,20
412,21
413,19
414,25
415,18
416,13
417,23
418,29
419,15
420,25
421,16
422,18
423,22
424,19
425,22
426,17
427,16
428,23
429,21
430,18
431,18
432,16
433,26
434,24
435,25
436,17
437,19
438,14
439,19
440,22
441,22
442,20
443,16
444,22
445,18
446,28
447,14
448,21
449,19
450,18
451,16
452,16
453,20
454,14
455,20
456,15
457,23
458,17
459,17
460,12
461,14
462,11
463,12
464,23
465,12
466,17
467,15
468,12
469,18
470,11
471,12
472,21
473,12
474,17
475,18
476,16
477,15
478,19
479,28
480,15
481,19
482,13
483,19
484,11
485,9
486,13
487,9
488,12
489,15
490,11
491,11
492,16
493,14
494,14
495,12
496,15
497,12
498,12
499,15
500,11
501,13
502,14
503,14
504,9
505,12
506,11
507,9
508,11
509,16
510,12
511,7
512,11
513,12
514,14
515,12
516,18
517,9
518,12
519,13
520,11
521,8
522,14
523,15
524,7
525,16
526,8
527,12
528,11
529,15
530,11
531,12
532,14
533,13
534,5
535,9
536,8
537,10
538,12
539,4
540,12
541,8
542,15
543,10
544,9
545,16
546,13
547,12
548,8
549,5
550,12
551,9
552,5
553,6
554,9
555,6
556,5
557,11
558,7
559,9
560,12
561,15
562,16
563,7
564,10
565,11
566,7
567,10
568,16
569,9
570,12
571,6
572,4
573,11
574,11
575,5
576,9
577,14
578,8
579,5
580,7
581,13
582,7
583,18
584,6
585,8
586,7
587,5
588,12
589,12
590,11
591,10
592,15
593,12
594,6
595,6
596,11
597,15
598,12
599,6
600,8
601,7
602,10
603,12
604,5
605,11
606,10
607,9
608,9
609,6
610,13
611,11
612,7
613,10
614,6
615,8
616,3
617,8
618,8
619,11
620,6
621,8
622,9
623,7
624,7
625,5
626,4
627,1
628,9
629,5
630,3
631,6
632,5
633,3
634,16
635,5
636,8
637,4
638,11
639,7
640,3
641,11
642,6
643,7
644,11
645,8
646,13
647,7
648,6
649,6
650,13
651,11
652,5
653,8
654,2
655,5
656,8
657,6
658,4
659,3
660,5
661,11
662,4
663,4
664,2
665,7
666,7
667,10
668,8
669,6
670,9
671,6
672,8
673,5
674,6
675,4
676,3
677,7
678,7
679,2
680,6
681,5
682,4
683,8
684,6
685,7
686,5
687,3
688,4
689,5
690,6
691,8
692,9
693,9
694,6
695,8
696,7
697,6
698,7
699,5
700,5
701,4
702,7
703,4
704,4
705,1
706,5
708,4
709,5
710,3
711,5
712,6
713,2
714,10
715,6
716,6
717,4
718,5
719,5
720,2
721,8
722,7
723,5
724,7
725,4
726,7
727,4
728,5
729,4
730,4
731,1
732,5
733,2
734,5
735,7
736,2
737,4
738,4
739,5
740,6
741,5
742,5
743,2
744,3
745,6
746,6
747,5
748,2
749,4
750,6
751,6
752,4
753,4
754,2
755,5
756,3
757,5
758,5
759,1
761,2
762,4
763,2
764,7
765,3
766,3
767,2
768,4
769,3
770,6
771,5
772,5
773,3
774,4
775,4
776,4
777,5
778,5
779,3
780,3
781,4
782,2
783,5
784,4
785,7
786,4
787,6
788,3
789,8
791,7
792,3
793,4
794,4
795,1
796,3
797,5
798,2
799,3
800,1
801,1
802,5
803,3
804,4
805,2
806,1
807,3
808,3
809,2
810,3
811,6
812,3
813,5
814,3
815,4
816,6
817,2
818,4
819,3
820,2
821,3
822,2
823,1
824,4
825,4
826,4
827,6
828,3
829,4
830,4
831,4
832,2
833,5
834,3
835,1
836,2
837,4
838,2
839,3
840,4
841,6
842,1
844,1
845,1
846,2
847,1
848,2
849,2
850,7
851,6
853,2
854,1
855,2
856,4
857,5
858,3
859,1
860,5
861,3
862,3
864,3
865,4
866,1
867,3
868,1
869,3
870,1
871,3
872,2
873,4
874,4
875,2
876,4
877,1
878,1
879,2
880,4
881,2
882,2
883,5
884,2
885,2
886,4
887,2
889,3
890,4
891,1
892,7
893,2
894,2
895,4
896,5
897,5
898,2
899,4
900,2
901,4
902,1
903,5
904,2
905,4
906,2
907,3
908,2
910,3
911,3
912,2
913,1
914,7
915,1
916,4
917,3
919,4
920,1
922,3
923,3
924,1
925,3
926,3
927,2
928,4
929,2
931,3
932,3
933,4
934,4
935,5
936,2
937,1
938,1
939,1
940,3
941,4
943,2
944,1
945,3
946,1
947,1
948,2
949,2
950,1
951,1
952,2
953,5
954,3
955,3
956,3
957,2
959,1
960,2
961,2
962,2
964,2
965,3
966,4
967,2
968,2
969,2
970,2
971,1
972,4
974,2
975,8
976,2
977,3
978,1
979,5
980,3
981,2
982,3
983,4
984,4
985,3
986,2
987,1
988,2
989,1
990,2
991,1
992,4
993,2
994,2
995,5
996,2
997,3
998,2
999,1
1000,1
1001,3
1002,1
1003,2
1004,2
1006,3
1008,3
1009,3
1010,2
1011,2
1012,2
1013,1
1014,1
1016,2
1017,4
1018,3
1019,1
1020,1
1021,1
1022,1
1023,3
1025,2
1026,1
1027,3
1028,2
1029,2
1031,2
1032,2
1033,3
1034,1
1036,2
1037,1
1038,1
1039,1
1040,2
1041,2
1042,1
1043,4
1044,1
1045,2
1046,3
1047,2
1048,1
1050,2
1051,2
1054,3
1055,1
1056,2
1057,1
1058,2
1060,1
1061,2
1062,2
1063,2
1065,1
1067,2
1068,1
1069,1
1070,2
1071,1
1072,1
1073,3
1075,3
1076,1
1077,1
1078,3
1079,5
1080,1
1081,1
1082,3
1083,4
1084,3
1085,1
1086,1
1087,1
1088,3
1089,2
1090,2
1091,1
1093,2
1095,1
1096,2
1097,3
1099,1
1100,2
1101,2
1102,1
1103,2
1104,2
1105,2
1108,1
1109,1
1111,2
1113,2
1115,1
1116,1
1117,3
1118,2
1120,1
1122,3
1123,1
1124,3
1126,2
1127,3
1128,1
1129,1
1130,1
1131,2
1132,4
1133,2
1134,2
1135,2
1136,1
1137,3
1138,3
1139,1
1140,1
1141,1
1144,2
1145,2
1147,4
1148,1
1149,1
1150,5
1151,4
1154,2
1155,1
1157,1
1158,3
1159,1
1160,1
1162,2
1163,1
1164,1
1166,1
1167,1
1168,4
1170,2
1172,3
1173,1
1174,1
1175,2
1176,1
1177,1
1178,1
1179,3
1180,1
1181,2
1182,1
1185,2
1186,1
1187,3
1188,4
1189,1
1193,3
1194,3
1195,3
1197,1
1199,1
1200,1
1201,2
1202,1
1203,1
1204,3
1205,1
1206,1
1207,1
1208,1
1209,1
1211,1
1212,1
1213,1
1214,2
1215,2
1216,3
1217,3
1218,3
1219,1
1224,2
1226,2
1227,1
1228,3
1229,1
1230,1
1231,2
1232,1
1233,1
1234,1
1235,4
1237,1
1238,1
1240,2
1241,1
1242,2
1244,2
1246,2
1247,1
1248,1
1251,2
1252,2
1253,2
1254,1
1256,1
1257,1
1262,1
1263,1
1264,1
1266,2
1268,1
1269,1
1272,1
1275,2
1276,2
1277,3
1279,1
1281,1
1282,1
1284,2
1287,2
1288,1
1289,2
1294,1
1295,2
1296,1
1297,1
1298,2
1299,1
1300,1
1302,2
1308,2
1311,1
1314,1
1320,2
1322,2
1327,3
1329,1
1330,1
1332,1
1333,2
1336,1
1340,1
1341,2
1343,1
1344,1
1346,2
1347,1
1350,2
1351,1
1353,1
1359,1
1360,1
1362,2
1364,1
1366,1
1367,2
1370,1
1374,1
1375,1
1380,1
1382,2
1384,1
1388,1
1389,1
1391,1
1392,1
1393,1
1397,1
1402,1
1407,2
1410,1
1411,2
1413,1
1415,1
1421,2
1424,1
1428,2
1430,1
1433,1
1435,1
1437,1
1439,1
1443,1
1445,1
1446,1
1447,1
1450,1
1452,1
1456,1
1458,1
1459,3
1465,2
1467,1
1468,1
1470,1
1473,1
1477,2
1478,1
