count,c
1,179510
2,76271
3,49984
4,29319
5,18727
6,16523
7,11280
8,9403
9,8265
10,6648
11,5531
12,5142
13,4170
14,3851
15,3449
16,2963
17,2671
18,2573
19,2332
20,2129
21,1968
22,1872
23,1662
24,1631
25,1493
26,1356
27,1427
28,1219
29,1177
30,1122
31,1083
32,1000
33,935
34,951
35,909
36,830
37,792
38,801
39,744
40,682
41,671
42,686
43,611
44,641
45,633
46,555
47,542
48,529
49,459
50,509
51,483
52,438
53,449
54,437
55,410
56,424
57,411
58,410
59,382
60,357
61,337
62,374
63,314
64,334
65,299
66,319
67,308
68,284
69,300
70,265
71,281
72,285
73,273
74,271
75,224
76,247
77,234
78,250
79,224
80,242
81,218
82,220
83,209
84,188
85,191
86,187
87,190
88,209
89,193
90,209
91,180
92,170
93,183
94,187
95,184
96,177
97,168
98,171
99,151
100,144
101,147
102,155
103,169
104,127
105,148
106,134
107,147
108,152
109,152
110,117
111,132
112,149
113,137
114,132
115,123
116,126
117,139
118,125
119,109
120,121
121,127
122,112
123,128
124,125
125,108
126,113
127,101
128,85
129,101
130,109
131,96
132,99
133,95
134,103
135,99
136,95
137,85
138,93
139,93
140,100
141,90
142,77
143,98
144,96
145,87
146,102
147,81
148,78
149,88
150,87
151,86
152,86
153,88
154,80
155,77
156,60
157,72
158,69
159,73
160,76
161,95
162,76
163,74
164,64
165,67
166,68
167,58
168,67
169,67
170,81
171,67
172,56
173,53
174,70
175,60
176,70
177,59
178,62
179,62
180,49
181,66
182,66
183,66
184,67
185,49
186,50
187,55
188,49
189,63
190,60
191,50
192,60
193,60
194,53
195,43
196,53
197,48
198,54
199,58
200,57
201,57
202,44
203,47
204,49
205,46
206,58
207,50
208,44
209,47
210,42
211,45
212,42
213,46
214,45
215,40
216,45
217,33
218,31
219,48
220,35
221,39
222,41
223,48
224,36
225,49
226,35
227,39
228,49
229,43
230,34
231,32
232,34
233,40
234,36
235,43
236,37
237,36
238,49
239,39
240,27
241,43
242,41
243,38
244,31
245,30
246,37
247,28
248,30
249,29
250,32
251,43
252,24
253,33
254,28
255,27
256,25
257,30
258,33
259,21
260,31
261,36
262,37
263,33
264,31
265,34
266,27
267,24
268,34
269,32
270,30
271,39
272,29
273,38
274,25
275,15
276,33
277,30
278,32
279,34
280,25
281,24
282,23
283,25
284,26
285,33
286,30
287,34
288,29
289,19
290,32
291,30
292,22
293,20
294,25
295,33
296,23
297,38
298,30
299,24
300,23
301,21
302,25
303,24
304,20
305,23
306,23
307,19
308,18
309,28
310,18
311,27
312,24
313,25
314,22
315,21
316,26
317,21
318,23
319,21
320,23
321,26
322,19
323,22
324,27
325,29
326,22
327,23
328,15
329,16
330,23
331,18
332,27
333,19
334,18
335,27
336,15
337,16
338,17
339,19
340,19
341,24
342,18
343,17
344,23
345,15
346,19
347,22
348,17
349,13
350,23
351,25
352,20
353,12
354,12
355,17
356,13
357,16
358,28
359,19
360,20
361,19
362,21
363,18
364,11
365,19
366,13
367,20
368,24
369,20
370,14
371,21
372,19
373,16
374,16
375,15
376,13
377,20
378,14
379,15
380,16
381,18
382,17
383,11
384,18
385,23
386,19
387,16
388,19
389,19
390,20
391,16
392,11
393,12
394,17
395,19
396,16
397,16
398,17
399,16
400,16
401,16
402,9
403,13
404,14
405,16
406,15
407,12
408,12
409,17
410,18
411,11
412,11
413,11
414,18
415,14
416,12
417,16
418,8
419,12
420,13
421,18
422,13
423,13
424,7
425,11
426,13
427,10
428,15
429,14
430,10
431,11
432,9
433,10
434,8
435,14
436,16
437,17
438,19
439,14
440,15
441,11
442,13
443,12
444,18
445,13
446,5
447,14
448,15
449,19
450,11
451,13
452,10
453,20
454,13
455,11
456,10
457,10
458,6
459,16
460,6
461,11
462,8
463,14
464,13
465,14
466,13
467,11
468,15
469,11
470,12
471,10
472,8
473,10
474,11
475,14
476,14
477,12
478,12
479,10
480,11
481,12
482,12
483,13
484,9
485,11
486,8
487,9
488,8
489,10
490,13
491,14
492,12
493,12
494,13
495,10
496,13
497,17
498,6
499,12
500,9
501,12
502,15
503,13
504,11
505,8
506,12
507,12
508,15
509,17
510,6
511,11
512,5
513,10
514,15
515,7
516,10
517,9
518,10
519,13
520,9
521,8
522,11
523,6
524,3
525,6
526,7
527,7
528,7
529,12
530,10
531,9
532,8
533,18
534,8
535,11
536,7
537,10
538,10
539,11
540,11
541,6
542,5
543,10
544,11
545,9
546,6
547,14
548,7
549,12
550,5
551,7
552,11
553,8
554,9
555,7
556,7
557,9
558,7
559,5
560,10
561,6
562,4
563,7
564,6
565,9
566,13
567,7
568,8
569,10
570,9
571,9
572,6
573,9
574,12
575,4
576,5
577,3
578,9
579,13
580,7
581,6
582,6
583,9
584,7
585,8
586,13
587,9
588,9
589,4
590,9
591,7
592,7
593,9
594,6
595,8
596,10
597,8
598,13
599,13
600,10
601,10
602,4
603,4
604,7
605,8
606,11
607,6
608,6
609,3
610,3
611,7
612,4
613,6
614,7
615,8
616,7
617,4
618,11
619,5
620,6
621,8
622,11
623,6
624,10
625,6
626,10
627,8
628,10
629,8
630,8
631,10
632,9
633,3
634,7
635,4
636,9
637,6
638,6
639,9
640,7
641,8
